year,status,quantity
2014,1,11
2014,0,
2015,1,13
2015,0,
2016,1,187
2016,0,
2017,1,2
2017,0,
2018,1,1
2018,0,
2019,1,84
2019,0,
2020,1,5
2020,0,
2021,1,
2021,0,
2022,1,9
2022,0,
2023,1,177
2023,0,
2024,1,3301
2024,0,3
2025,1,47
2025,0,
