epi_weeks,cases,avg_temp,avg_humid
76,1,21.4282565714,58.4528722857
77,1,21.5990545714,65.0306014286
78,0,18.4967321429,65.8982252857
79,0,20.3694978571,62.3328587143
80,1,20.848739,64.142857
81,1,21.0678635714,58.9769545714
82,0,19.9663864286,60.134454
83,1,21.4545925,59.2409701667
84,0,21.8319325714,47.5546215714
85,0,20.0780312857,56.5936368571
86,0,22.5462182857,54.1344545714
87,0,23.9059877143,51.921219
88,0,25.5848737143,43.9905695714
89,0,22.8986595714,67.715219
90,0,24.5891455714,53.9210907143
91,0,28.7394957143,34.4873945714
92,1,28.0901027143,38.9929967143
93,0,26.6134452857,43.7310922857
94,1,28.6813185714,30.7909497143
95,1,27.4907561429,49.3294111429
96,0,25.2399625714,57.892625
97,0,29.31715725,40.552941875
98,2,27.1760621429,53.1221982857
99,0,24.4289355,73.5569441667
100,0,24.9834957143,65.76669
101,0,25.5210361429,68.555881
102,1,23.0443514286,78.2296931429
103,3,21.3058822,78.435294
104,2,21.5816325714,73.5408161429
105,0,21.8235294286,78.0336134286
106,4,21.0225562857,80.4285714286
107,3,21.6642857143,85.1857142857
108,5,20.5619045714,87.6476185714
109,7,22.4201681429,80.8776848571
110,6,26.8991598571,54.8314077143
111,7,26.0504202857,59.5378148571
112,32,22.2767857143,79.4910714286
113,29,21.7380951429,76.6587307143
114,26,20.9642857143,84.7928571429
115,26,21.5238094286,80.3619042857
116,39,20.9243698571,81.9159665714
117,18,20.8403361429,82.9075628571
118,34,21.4095238571,78.1809522857
119,29,21.9186507143,72.3769842857
120,28,24.1670588,59.7031976
121,17,,
122,22,18.5462965,83.7129633333
123,17,16.5,82.5
124,8,18.84,79.1333328
125,9,18.2395833333,84.21875
126,1,16.9183674286,82.4285714286
127,0,16.5798318571,86.8739492857
128,3,18.5098038333,86.137255
129,0,13.4360901429,81.6390974286
130,0,15.9285714286,79.9375
131,0,15.4033614286,80.1176471429
132,0,15.8655461429,76.4201681429
133,0,16.2436975714,73.4789914286
134,0,15.6517857143,77.0
135,0,16.3406861667,71.6053925
136,0,16.9492297143,69.1225487143
137,1,17.34127,66.5714285714
138,0,18.2232142857,76.0089285714
139,0,17.5882352857,67.1764705714
140,0,19.0482294286,68.9564102857
141,0,18.9583333333,67.125
142,0,19.3445377143,65.8739492857
143,0,19.5620915,69.9052283333
144,0,17.6,83.8
145,0,19.9285715,58.5714285
146,0,19.8655461429,78.92437
147,0,22.9081632857,68.1530614286
148,0,22.2285714286,70.2714285714
149,0,19.3214285714,81.0982142857
150,0,19.9056121429,83.2079085714
151,0,20.3084148333,87.2393793333
152,0,18.7815127143,84.9159665714
153,1,20.45,84.2125
154,1,20.6923075714,89.8571428571
155,0,20.5454546667,88.1818186667
156,0,21.476923,73.0153846
157,0,22.755238,74.33714259999999
158,0,23.5986395714,70.9625854286
159,0,21.5571428571,79.5428571429
160,2,22.1272728,71.9259742
161,2,22.3479166667,70.30625
162,0,20.753846,82.738462
163,0,22.8125,77.625
164,1,21.05,80.0833333333
165,4,21.9666666667,75.5333333333
166,0,21.11111125,82.5
167,0,21.4805194286,81.5324671429
168,0,21.1041666667,75.4791666667
169,0,19.730769,74.1538465
170,0,19.0,83.3333333333
171,0,19.4722223333,82.5
172,0,21.425,79.2333328
173,0,19.3384616,82.246154
174,1,18.888889,90.4222216667
175,0,17.6666666667,82.9166666667
176,0,16.8333333333,84.141025
177,0,18.090909,88.7727275
178,0,16.0,88.0
179,0,15.0,88.0
180,0,15.75,91.0
181,0,16.4923076,88.892308
182,0,13.6,91.6
183,0,12.75,91.0
184,0,12.4,84.6
185,0,13.3333333333,90.0
186,1,13.6,84.4
187,0,13.6,80.0
188,0,13.8,80.6
189,0,15.3333333333,80.6666666667
190,0,17.0,77.3333333333
191,0,14.75,81.0
192,0,15.0,76.25
193,0,14.4583335,74.541667
194,0,,
195,0,,
196,0,,
197,1,,
198,0,,
199,0,,
200,0,,
201,0,,
202,0,,
203,0,25.5588235,55.4114115
204,0,22.0672271429,80.1641222857
205,1,22.7549015714,73.6277721429
206,0,21.1564628571,88.7852521429
207,0,20.2492997143,85.1051921429
208,0,21.7422968571,74.5776982857
209,0,23.3361342857,73.6301712857
210,0,20.3809522857,88.9750705714
211,0,20.5,77.1615892857
212,0,22.042017,70.5416535714
213,1,22.0476185714,65.4639601429
214,0,20.8263307143,85.2855208571
215,0,20.1120447143,87.457145
216,0,20.5714282857,77.5303234286
217,0,20.8347337143,85.3459985714
218,0,24.1806725714,74.2670042857
219,3,21.2857142857,87.7728185714
220,0,21.75,84.22169
221,0,20.65,85.9993781429
222,0,19.6428571429,80.7182365714
223,0,20.5357142857,81.6843128571
224,1,19.5238094286,81.0778122857
225,0,18.6743698571,77.7821275714
226,0,21.5478994286,68.352467
227,0,22.5042018571,56.0887268571
228,0,21.184874,65.5702574286
229,1,22.1428571429,68.0155801429
230,0,16.2533611429,75.9661827143
231,0,15.2142857143,80.7692937143
232,0,17.6428571429,79.1039442857
233,0,17.5357142857,83.1853312857
234,0,16.0,81.8965657143
235,0,17.1785714286,76.119418
236,0,16.2857142857,76.2672457143
237,0,16.2928571429,74.5457907143
238,0,19.0693277143,64.0911092857
239,0,19.6134448571,57.2658288571
240,1,20.7226891429,65.1102378571
241,0,21.747899,65.0554451429
242,0,17.2310924286,68.7035847143
243,0,16.7,70.8800557143
244,0,17.6428571429,74.8442335714
245,0,18.0714285714,64.2398694286
246,0,17.5714285714,71.4492085714
247,0,19.0,83.9929551429
248,0,20.5119048571,65.644298
249,0,21.7436972857,72.2346708571
250,0,24.92437,53.0068445714
251,1,22.2521008571,76.515822
252,0,18.1785714286,82.287606
253,0,19.4928571429,81.8107944286
254,0,18.1690477143,83.5407012857
255,0,19.2380951429,85.1203387143
256,0,18.5952382857,86.354937
257,0,18.2857142857,80.4110942857
258,0,19.669468,85.971622
259,0,23.1436975714,60.7639374286
260,0,26.0672271429,56.4431897143
261,0,20.6633054286,82.9161445714
262,0,19.2857142857,87.9951594286
263,0,20.3333331429,75.6726087143
264,0,24.5154061429,62.3699637143
265,0,25.6218488571,56.0776215714
266,2,26.5882354286,49.0552715714
267,0,22.4280615714,72.2705754286
268,1,20.5238097143,81.7683741429
269,0,20.1309522857,87.8753708571
270,1,21.1071428571,81.5556792857
271,2,20.8928571429,79.1332385714
272,1,21.1785714286,79.0641328571
273,8,20.4642857143,85.30701
274,2,19.3214285714,78.9545964286
275,8,20.2857142857,80.8368191429
276,6,20.52479,81.0959902857
277,12,20.154762,82.4005554286
278,12,20.1885355714,78.8708885714
279,19,19.9761905714,82.9923227143
280,12,18.7785714286,82.9988942857
281,25,18.0714285714,85.0358868571
282,33,17.2857142857,79.5738014286
283,16,17.7857142857,79.7098514286
284,7,14.75,79.267395
285,9,16.1092437143,80.2290635714
286,3,15.7857142857,76.3987165714
287,5,16.8095238571,79.1461271429
288,4,16.0357142857,72.9492192857
289,2,11.8714285714,73.087669
290,4,14.5928571429,68.006839
291,0,14.5357142857,76.1888257143
292,1,16.2,67.9098675714
293,1,16.4642857143,76.147083
294,1,16.0357142857,68.9226514286
295,0,17.4929972857,66.8908931429
296,0,15.6309524286,70.779315
297,0,19.6309522857,64.4974184286
298,2,20.2,60.4015998571
299,1,22.0071428571,56.1767904286
300,0,18.75,73.5641614286
301,0,20.1428571429,69.0265604286
302,0,21.5,64.8154598571
303,0,22.3214285714,51.5373798571
304,0,21.7857142857,74.0994255714
305,0,20.5714285714,78.9385654286
306,4,23.6666665714,66.5227391429
307,0,22.1904762857,74.6660022857
308,4,20.4166668571,84.7542815714
309,4,20.2142854286,84.2174964286
310,15,20.7142854286,87.7762492857
311,1,20.559524,85.7047025714
312,2,22.654762,70.0308285714
313,0,22.3333334286,76.4065055714
314,0,23.1045755,75.3816363333
315,1,25.5574228571,70.8832757143
316,0,26.630252,65.500207
317,2,22.7394961429,82.986704
318,7,25.6302522857,72.25081
319,2,23.6783018571,74.6389645714
320,3,20.6190471429,89.2076358571
321,3,22.1785714286,80.1092464286
322,2,22.0840335714,84.1561264286
323,3,21.1780462857,84.0151942857
324,0,24.4117647143,66.8607122857
325,2,22.3739495714,78.2849807143
326,0,21.9831937143,70.5432142857
327,0,24.8571428571,70.0415562857
328,0,24.268908,73.7286587143
329,1,22.1932775714,76.2647114286
330,2,21.9831934286,66.7349682857
331,1,21.630252,59.2748422857
332,0,20.6890752857,67.5208172857
333,3,19.8664801429,71.9645314286
334,1,20.697479,69.8057262857
335,0,18.2935177143,66.3614752857
336,1,20.3529412857,65.5634574286
337,0,22.1624651429,60.0991895714
338,1,19.2553921429,73.2381765714
339,0,19.5908612857,61.224151
340,0,20.3364145714,68.0697407143
341,0,20.4388004286,62.541671
342,0,20.8726191429,62.1656574286
343,0,20.335234,61.7738648571
344,0,21.1004552857,60.01284
345,0,18.7787112857,56.031504
346,0,21.4914964286,58.3149032857
347,0,22.2825631429,62.5075562857
348,0,19.3665967143,55.920230000000004
349,0,23.4591237143,48.8765637143
350,0,25.214811,41.971548
351,0,25.6917018571,41.726638
352,0,23.4065127143,61.0520578571
353,0,29.0868697143,38.7750028571
354,0,29.4189075714,46.309957
355,0,22.7237395714,69.9624847143
356,0,20.380182,77.852158
357,0,23.6805971429,73.057208
358,0,22.4879995714,66.226338
359,0,24.07507,75.1335662857
360,0,24.3140405714,74.5305384286
361,0,23.3303571429,65.1489388571
362,0,,
363,0,,
364,0,,
365,0,,
366,0,25.235294,68.479372
367,0,24.4737395714,75.095415
368,0,24.6349791429,75.12756
369,0,24.8918068571,58.65596
370,1,25.1721417143,58.8122181429
371,0,24.876751,67.9806072857
372,0,21.7226892857,83.4771337143
373,0,22.8387954286,86.5942787143
374,0,23.270756,76.5386591429
375,0,23.1725921429,70.7396008571
376,0,23.1013657143,79.6091342857
377,0,23.4844185714,67.3023324286
378,0,25.6554622857,61.5666374286
379,0,24.7964437143,69.0312397143
380,0,22.3917261429,67.8123201429
381,0,22.380719,60.8354942857
382,0,22.7454228571,62.9629921429
383,0,22.5204834286,66.3955902857
384,0,22.05042,62.6639072857
385,0,20.537373,64.4934135714
386,0,22.0358247143,57.6192385714
387,0,23.7695707143,65.1100445714
388,0,21.9057541429,69.7665278571
389,0,20.7344538571,72.1442672857
390,0,19.282563,65.5479922857
391,0,20.8581932857,61.5263135714
392,0,18.859769,59.6715022857
393,0,18.2373948571,55.4915834286
394,0,20.6574627143,55.2987155714
395,0,20.5166318571,51.5171934286
396,0,19.3329832857,51.5047671429
397,0,18.377311,57.884385
398,0,20.9396008571,58.9188084286
399,0,22.2153944286,56.1645174286
400,0,22.6964288571,49.6755815714
401,0,21.5692171429,58.7681361429
402,0,27.3110644286,45.9015927143
403,0,26.8604322857,44.396655
404,0,24.7058824286,51.7300995714
405,0,26.0168062857,55.0145558571
406,0,25.4318394286,63.6834518571
407,0,22.8371097143,74.2412462857
408,0,21.8247547143,79.575078
409,0,23.9956932857,67.7383614286
410,0,23.7080878571,74.2714861429
411,0,21.9594957143,80.9677138571
412,0,22.2372202857,73.9170514286
413,0,24.722794,65.4046781429
414,0,23.2192112857,79.283297
415,0,22.0462182857,76.6250515714
416,0,23.172794,85.0361614286
417,0,22.442752,76.5842507143
418,0,22.9443277143,78.2371094286
419,0,22.2376815714,91.2079382857
420,0,24.4369745714,77.0338991429
421,1,25.7546218571,66.8227412857
422,0,25.1611914286,64.7663137143
423,0,23.2005848571,84.067885
424,0,21.2689074286,93.7551062857
425,0,22.8941175714,82.5910615714
426,0,24.865546,71.8389104286
427,0,24.7710082857,65.6682594286
428,0,25.5210085714,62.8840727143
429,0,25.2100838571,65.4450994286
430,0,24.3313325714,66.0830582857
431,1,26.1495797143,62.9539467143
432,1,24.2591037143,72.5848262857
433,0,24.5042017143,68.9588594286
434,0,23.365021,55.7435537143
435,5,23.8214281429,62.6860574286
436,2,22.6386551429,71.1062854286
437,1,21.1114551429,67.3163587143
