year,cases_autoc,cases_clinical,cases_laboratory
2014,619,4,832
2015,13983,7945,6554
2016,1611,143,1587
2017,402,,451
2018,153,,192
2019,545,36,635
2020,380,1,453
2021,,1,618
2022,,,1695
2023,886,295,753
2024,97952,96978,1244
2025,5545,5116,656
