epi_weeks,cases,avg_temp,avg_humid
1,70,25.0669962857,62.449744
2,110,25.0324908571,58.2740208571
3,97,23.1500551429,66.8863545714
4,123,24.4709155714,64.8174734286
5,124,26.4166668571,55.9880948571
6,110,28.128996,50.8591822857
7,124,26.2485714286,57.8261908571
8,111,23.1431687143,65.4339202857
9,150,24.7916665714,63.2083331429
10,111,22.5567534286,74.3821691429
11,166,24.3111355714,71.0706585714
12,142,24.491465,69.0711908571
13,165,21.5416665714,74.261904
14,227,22.0169048571,77.7538091429
15,311,23.9101644286,68.8850005714
16,309,23.1470514286,72.7651277143
17,477,22.2923808571,70.6480948571
18,465,19.8540371429,61.9642857143
19,389,21.965934,66.2934065714
20,432,20.2984197143,64.0964714286
21,363,21.3491991429,71.9530514286
22,290,19.250873,69.3701325714
23,291,19.4158251429,69.5286788571
24,332,21.8485077143,67.4183085714
25,269,19.5990061429,76.5322828571
26,258,20.4830951429,66.484048
27,213,20.985,57.585
28,162,19.7143372857,71.4680662857
29,164,18.9599738571,67.2621774286
30,132,19.0663111429,65.2387074286
31,128,18.7224102857,69.6697828571
32,124,19.7176502857,58.2142857143
33,136,19.3454002857,66.463682
34,147,20.935458,63.4167402857
35,150,20.8356622857,59.0183754286
36,162,21.1343532857,64.793576
37,168,23.5900674286,51.1340188571
38,158,23.0097784286,63.2865134286
39,154,22.1686368571,63.1146231429
40,184,22.1516118571,66.3471991429
41,183,22.8452382857,49.3214285714
42,172,26.9391822857,52.7738097143
43,142,23.3714288571,62.0661902857
44,150,24.7465407143,58.6363971429
45,136,25.3390477143,67.0422748571
46,151,23.0725721429,65.7614577143
47,146,23.5233517143,60.2536627143
48,153,24.4754418571,72.7451182857
49,130,25.3016665714,59.8123805714
50,106,25.2396215714,69.4931828571
51,111,24.7613005714,64.4576092857
52,105,26.225,69.2992851429
53,35,27.779883,63.161847
54,215,27.2358242857,64.4583691429
55,226,28.6323622857,60.1958608571
56,257,27.4697617143,60.4652377143
57,269,26.6687361429,65.0994332857
58,344,23.9117688571,76.3852385714
59,416,26.3668917143,71.1109241429
60,606,25.5212902857,73.6796288571
61,683,25.8903604286,68.1562342857
62,612,24.937314,70.3059045714
63,844,24.8521428571,76.6426194286
64,1161,23.5380035714,79.3397944286
65,1225,23.8411172857,71.8456977143
66,1182,24.4889795714,71.044558
67,1413,23.0947251429,69.59901
68,1418,23.884656,73.3551222857
69,1356,24.04373,77.800768
70,1067,21.4697802857,71.8186802857
71,1252,21.3346702857,72.2335525714
72,1007,20.0162635714,75.63533
73,738,21.1011905714,75.5450354286
74,392,21.8171428571,73.6292491429
75,294,19.3290904286,83.3781565714
76,179,21.4084247143,69.0842471429
77,95,19.924817,76.4846391429
78,53,18.5953662857,74.5067774286
79,55,19.7059705714,75.3394677143
80,83,18.5891577143,79.062526
81,75,22.0987547143,67.8530042857
82,92,20.0865307143,72.2918031429
83,110,19.725515,73.2098782857
84,123,21.8035714286,57.7857142857
85,111,21.6071431429,62.7083331429
86,104,21.7065018571,59.6053118571
87,82,19.719044,76.3829022857
88,72,21.3935714286,66.2133337143
89,77,20.7333081429,79.0532022857
90,117,25.0871431429,57.9078571429
91,105,25.7612455714,54.344377
92,108,24.1511375714,76.4528571429
93,153,23.3076927143,65.3736282857
94,218,24.5766665714,59.438572
95,191,22.216601,68.1471628571
96,167,22.0623587143,70.658672
97,165,22.626323125,79.747362
98,227,24.0047801429,72.9298722857
99,274,23.6262227143,72.8942634286
100,286,22.700346,74.6232205714
101,288,22.1046155714,81.83824
102,469,22.2815305714,79.1020762857
103,475,21.8613947143,85.6386048571
104,402,22.2278911429,85.9036294286
105,251,22.5578231429,87.693028
106,585,21.7678571429,81.7797617143
107,551,21.7854082857,88.9221428571
108,583,19.0272111429,78.9464285714
109,570,21.931973,84.264456
110,669,26.0269051429,61.3707142857
111,771,24.8972658571,73.8189788571
112,772,22.6263914286,82.2431962857
113,871,21.7967687143,88.9149665714
114,965,20.9056122857,88.042518
115,1061,21.6431405714,91.3321991429
116,1071,20.4821428571,86.2517008571
117,1204,20.715514,89.537414
118,1269,21.3930272857,86.2642057143
119,998,21.1468255714,85.1706348571
120,961,24.7887785714,68.6640171429
121,659,22.5907277143,77.7340274286
122,418,17.8401358571,86.9132657143
123,323,14.24,92.5513271429
124,312,17.512755,91.1522108571
125,218,17.4753401429,90.8673471429
126,121,14.6692175714,94.945578
127,148,16.625102,96.3232657143
128,81,13.4869614286,95.484128
129,80,9.1591835714,94.6913271429
130,75,13.3673468571,94.4022108571
131,91,13.3568592857,96.4763798571
132,132,14.5365647143,82.1003397143
133,114,16.0484691429,82.8222797143
134,85,10.5901364286,91.1938771429
135,91,14.4603172857,82.625
136,94,16.5833334286,78.0476188571
137,80,14.5408161429,82.5476194286
138,117,15.604796,83.00653
139,113,15.0613405714,82.5470698571
140,108,17.8293374286,74.3845051429
141,126,16.6524941429,91.570578
142,142,18.8175964286,72.4484685714
143,122,15.9518368571,88.2709185714
144,112,15.5219388571,80.0801028571
145,143,16.726020428600002,83.2003405714
146,169,17.9960755714,85.5247271429
147,228,21.7729592857,76.9438767143
148,247,19.1536278571,87.1403071429
149,207,17.9307142857,91.0590814286
150,226,19.6064285714,90.1648985714
151,223,18.5616807143,92.5450308571
152,251,17.6597223333,89.6170623333
153,274,20.1198975714,91.4226182857
154,263,19.5753531429,91.12598
155,278,20.1292517143,94.0867342857
156,239,20.5153058571,91.7777208571
157,344,22.9601731429,87.0662085714
158,315,22.5161568571,87.9209185714
159,302,21.5551777143,98.1812171429
160,278,21.6129064286,95.9835612857
161,340,21.2422107143,94.0226194286
162,305,21.9533733333,92.168651
163,292,21.664079,86.8313923333
164,359,23.0187072857,78.0119051429
165,281,21.2759184286,84.7146942857
166,355,20.7423471429,89.2925165714
167,355,22.3408164286,87.9863951429
168,337,21.8095235714,86.5399665714
169,313,18.7363947143,87.3384351429
170,324,17.2100338571,88.625
171,295,19.5212587143,87.5204071429
172,245,20.7610542857,86.7831628571
173,229,18.0244895714,87.9690814286
174,196,17.368197,89.3231308571
175,188,16.0439797143,92.02653
176,183,16.8809525714,88.3078237143
177,153,16.7653061429,89.1530614286
178,187,16.8418371429,93.2653057143
179,135,15.7820295714,90.2993205714
180,137,16.7709752857,91.8843537143
181,117,13.66695,93.1632642857
182,122,14.7106011429,92.082482
183,94,13.1989797143,93.375
184,81,11.9438777143,87.7653057143
185,69,12.9668365714,93.8316314286
186,60,12.9285714286,87.2704071429
187,70,12.7346937143,89.0408157143
188,74,13.9591838571,83.1632652857
189,61,13.890306,82.7397957143
190,56,16.7219388571,87.3545914286
191,84,14.4132652857,88.5153057143
192,69,15.3962588571,80.3171777143
193,82,16.0079196,77.7891304
194,126,,
195,120,,
196,108,,
197,157,,
198,136,,
199,178,,
200,120,,
201,117,,
202,131,,
203,99,21.4375,78.061285
204,135,20.7559525714,81.154983
205,171,21.2261905714,75.1055105714
206,135,21.0523808571,81.0759385714
207,129,19.170238,83.6712378571
208,111,21.275,82.6476112857
209,131,21.0273808571,88.0127908571
210,169,20.8142857143,86.4971077143
211,148,20.390476,88.0826557143
212,221,21.3357142857,88.4949434286
213,191,21.7583157143,87.7956465714
214,317,20.0738094286,87.0857042857
215,221,20.0833334286,82.5778014286
216,223,20.5809522857,89.2176727143
217,227,21.3484848571,87.2949832857
218,206,22.5830511429,84.1958751429
219,176,21.415584,92.1748762857
220,202,22.1353894286,88.5140414286
221,188,21.4948054286,89.2843678571
222,151,21.3675325714,87.2988671429
223,148,20.3636365714,90.9508115714
224,163,19.6363634286,86.8965457143
225,129,17.4312771429,87.1233777143
226,98,20.9285711429,78.8384092857
227,116,21.9642857143,72.1514478571
228,110,20.4523808571,75.1310164286
229,114,20.5476191429,77.383462
230,79,14.6753248571,80.0429592857
231,52,15.103896,86.5655651429
232,63,15.8961038571,89.2256101429
233,99,17.4170995714,89.0572814286
234,97,14.961039,89.6390031429
235,68,16.0129871429,82.7164907143
236,51,15.3896101429,89.0412657143
237,29,12.3322511429,85.6901748571
238,51,17.279762,71.1486197143
239,32,18.6785714286,73.7848308571
240,36,17.8061592857,79.0311894286
241,42,17.9174432857,73.7542665714
242,44,13.9431818571,86.0876865714
243,52,16.6352817143,80.6599994286
244,64,15.8430737143,83.558683
245,49,14.2781385714,85.8448111429
246,73,15.5952381429,87.3466792857
247,78,17.365801,88.9823098571
248,68,18.9383117143,89.1457377143
249,92,19.2981602857,88.8015057143
250,94,21.8571428571,83.1292484286
251,86,20.8492761429,85.4296154286
252,103,17.6785718571,93.0562078571
253,90,18.1580087143,88.2263252857
254,111,18.0129871429,92.8574621429
255,119,20.8389611429,85.2225857143
256,116,18.6948051429,92.9787288571
257,111,18.9103897143,93.3357757143
258,101,19.4535714286,89.37957
259,119,24.5535711429,61.2473761429
260,132,25.9821428571,73.6208751429
261,103,21.1559525714,90.9500678571
262,163,21.3285714286,94.06663
263,153,21.8857142857,92.271439
264,134,24.2321428571,81.0582108571
265,131,23.988354,81.6518928571
266,106,26.6270705714,66.349695
267,137,20.6825398571,87.3140618571
268,174,20.5571428571,93.8512315714
269,179,21.5064937143,96.3162308571
270,170,21.9870134286,93.1582911429
271,221,21.3376622857,95.1755805714
272,280,21.5108225714,94.6386952857
273,250,20.8233768571,96.2386365714
274,311,19.8831165714,87.5894828571
275,305,20.155844,92.3435892857
276,356,20.4305197143,96.1778771429
277,363,19.5337662857,91.5057
278,439,21.007576,89.698245
279,453,19.4615802857,90.0800291429
280,478,19.6791128571,87.2754482857
281,471,18.6883117143,90.0110562857
282,463,16.0876622857,89.0742897143
