year,hospitalization,quantity
2014,1,1
2014,0,734
2015,1,49
2015,0,10367
2016,1,24
2016,0,1627
2017,1,21
2017,0,404
2018,1,2
2018,0,184
2019,1,34
2019,0,614
2020,1,18
2020,0,348
2021,1,10
2021,0,519
2022,1,50
2022,0,1475
2023,1,38
2023,0,959
2024,1,1759
2024,0,60445
2025,1,300
2025,0,3488
