year,cases_autoc,cases_clinical,cases_laboratory
2014,383,229,157
2015,8235,7601,1030
2016,621,616,46
2017,16,12,10
2018,6,,7
2019,283,301,43
2020,38,15,27
2021,,3,20
2022,,7,55
2023,1371,548,1480
2024,5947,8129,556
2025,222,159,75
