epi_weeks,cases,avg_temp,avg_humid
134,1,12.5934067143,82.2912085714
135,4,14.3910255,83.7948716667
136,5,18.0544215714,73.1741495714
137,1,15.4489795714,77.1428571429
138,4,16.60989,76.7142857143
139,3,16.887075,74.2204081429
140,7,19.4064625714,73.5153057143
141,2,18.0,78.6190478333
142,0,19.9489795714,69.6530614286
143,3,18.0476191667,74.1547616667
144,0,16.8,78.6
145,2,18.636364,69.772728
146,6,19.0879121429,83.6703295714
147,8,21.5824175714,81.6043957143
148,5,20.612245,78.122449
149,3,18.8482142857,80.6517857143
150,6,19.8392155714,84.3098034286
151,4,18.2307691667,87.9230766667
152,10,18.7346938571,82.22449
153,11,21.1697191667,77.5580588333
154,12,19.8823528571,81.5042014286
155,4,21.791667,78.416668
156,4,23.814285666700002,71.3206343333
157,30,23.7119046667,77.6714283333
158,23,23.0792778571,82.323391
159,15,21.2,91.7666666667
160,20,22.238961,84.54675399999999
161,20,23.0714286,82.3619048
162,12,22.3571428333,80.9166666667
163,14,22.878788,79.757576
164,23,23.7272725,72.840909
165,13,22.0545456,78.3090912
166,12,20.8666666667,89.4666666667
167,11,23.0,82.753846
168,25,21.9384616,84.446154
169,15,21.5,79.03846
170,18,19.1777776667,80.7333333333
171,7,19.3214285714,85.7142857143
172,8,22.9107694,79.963078
173,2,19.28846175,81.71153825
174,9,18.0833333333,90.6666666667
175,6,16.25,90.1818175
176,2,16.642857,85.625
177,10,17.2,84.1166666667
178,3,17.2,92.8
179,5,16.0,89.0
180,3,16.2857142857,88.2857142857
181,3,14.2051283333,90.628205
182,3,13.8333333333,93.0
183,3,12.4,92.8
184,3,11.5,87.6666666667
185,2,11.8,91.4
186,2,11.2,90.2
187,2,10.3333333333,91.5
188,4,10.3333333333,89.5
189,3,10.2,90.0
190,0,16.2,90.4
191,1,13.4285714286,89.7142857143
192,2,13.9642857143,86.6071428571
193,2,13.83928575,79.125
194,3,,
195,4,,
196,4,,
197,3,,
198,1,,
199,7,,
200,3,,
201,10,,
202,9,,
203,13,25.966666,61.673349
204,13,24.0285712857,73.9472431429
205,4,24.1238092857,68.8876991429
206,13,21.9619048571,83.1162121429
207,8,19.5,85.6159294286
208,9,21.3761904286,86.0779578571
209,7,21.3571428571,89.6264464286
210,5,21.0,85.8804128571
211,11,22.2809524286,81.3837091429
212,8,21.8000001429,85.1588278571
213,28,21.4190474286,88.4818077143
214,7,20.1428571429,89.5522628571
215,4,20.1809522857,86.5431052857
216,0,21.0,88.3773542857
217,7,21.5714285714,88.0050521429
218,3,24.1857142857,80.8849178571
219,7,21.7142857143,90.8264292857
220,3,21.4285714286,90.8197085714
221,10,21.6428571429,89.3142484286
222,1,20.5714285714,87.60002014290001
223,3,20.5,91.9677614286
224,4,19.0,90.7063958571
225,5,17.852381,87.3742722857
226,7,23.4952387143,69.1003228571
227,2,23.9619045714,64.0350775714
228,9,22.171428,69.1058531429
229,6,22.3142858571,72.9202471429
230,6,13.7411765,81.3902737143
231,7,14.1,87.5083007143
232,3,15.8571428571,88.8272514286
233,6,16.5,91.6194471429
234,7,14.4285714286,90.8900574286
235,8,12.0714285714,92.7575505714
236,5,13.0,92.4316302857
237,5,10.4285714286,90.9482078571
238,5,18.0095237143,69.4958448571
239,5,21.1904761429,62.8535067143
240,2,19.7142857143,73.5389308571
241,1,19.5238094286,69.0581774286
242,2,15.495238,81.531468
243,3,14.6428571429,91.2225994286
244,4,15.0714285714,88.5436442857
245,1,14.6632652857,85.2264197143
246,0,17.025974,81.2515224286
247,1,17.0238094286,93.062083
248,3,19.7142857143,87.92226
249,1,20.2857142857,84.5056837143
250,3,23.8053374286,79.36207
251,4,23.2430067143,77.7877932857
252,1,19.3571428571,88.3479135714
253,0,19.2142857143,88.3479995714
254,1,18.5714285714,94.7902734286
255,2,22.1428571429,85.2672408571
256,3,18.8571428571,92.4123677143
257,5,21.4505492857,84.6476765714
258,3,20.7582418571,86.6782234286
259,1,27.813187,52.9867801429
260,1,28.8571424286,64.0413441429
261,3,22.7967032857,82.6770062857
262,7,23.095238,88.874159
263,4,22.4285714286,86.8543757143
264,2,26.4725277143,71.4773732857
265,3,26.7802195714,71.8077052857
266,7,29.945055,55.2032932857
267,10,22.9255187143,81.6773295714
268,10,20.5714285714,93.24847
269,3,21.2857142857,94.4864478571
270,11,21.9285714286,92.8953871429
271,17,21.7142857143,92.9461471429
272,21,22.1428571429,90.8590542857
273,25,21.8928571429,90.5591142857
274,37,20.0,89.9327565714
275,49,20.5714285714,89.1378085714
276,46,21.5974025714,90.8335442857
277,59,20.7680892857,88.0698457143
278,66,21.2889611429,88.8548934286
279,108,19.7755102857,89.7381027143
280,100,18.8571428571,91.535222
281,106,20.6623377143,85.7442148571
282,108,16.6493505714,86.6334542857
283,80,14.8571428571,95.5791877143
284,31,14.1428571429,89.5134307143
285,49,13.6493505714,91.1390625714
286,26,13.8571428571,94.7440528571
287,21,13.1428571429,95.6315571429
288,10,16.3896102857,82.1287484286
289,6,8.7142857143,88.5583208571
290,5,10.6493505714,89.9853907143
291,3,10.7142857143,93.6593591429
292,5,13.9870128571,88.5006461429
293,3,13.4545454286,91.0237271429
294,6,13.2857142857,88.6606267143
295,4,15.077922,86.9072084286
296,7,15.1948051429,83.40408
297,7,17.4285714286,90.5583571429
298,6,17.0,90.9682644286
299,6,19.2142857143,83.3076585714
300,8,16.4285714286,88.0731745714
301,8,18.1428571429,81.2878008571
302,9,19.5714285714,85.6035
303,1,20.7142857143,77.6611001429
304,2,19.2142857143,80.0215085714
305,1,21.7857142857,77.3125685714
306,2,21.7142857143,78.1925978571
307,3,20.2857142857,82.221468
308,1,21.0408164286,77.5426562857
309,2,21.8265307143,69.7870412857
310,2,21.010204,79.7382102857
311,5,20.5714285714,80.9559342857
312,3,23.0,74.2016305714
313,0,22.2040817143,76.0063411429
314,7,24.690476,67.9679423333
315,6,27.8163267143,62.1487904286
316,6,26.1836735714,67.0615722857
317,9,24.642857,62.7931644286
318,18,28.4489798571,53.285215
319,4,22.833024,77.9353584286
320,22,20.1836735714,84.3490117143
321,22,22.1428571429,81.7330417143
322,15,20.4897958571,80.6879008571
323,19,19.4489795714,78.4070278571
324,22,24.908163,64.9100675714
325,13,25.6632652857,70.1004805714
326,8,24.3469384286,59.4338778571
327,10,25.510204,66.8036005714
328,6,23.2755104286,65.1344911429
329,16,22.8367347143,63.7877495714
330,12,23.3227038571,59.3258732857
331,18,23.4285714286,54.7906247143
332,8,20.8877547143,58.2519762857
333,15,20.3367342857,62.2625304286
334,10,22.7448977143,57.166351
335,14,17.2959181429,57.7922095714
336,7,20.6632655714,62.8421824286
337,11,23.1734691429,63.6021154286
338,15,20.6823651429,64.0018
339,7,20.1766091429,62.1759107143
340,5,19.0103608571,62.1232865714
341,10,20.952551,59.0860437143
342,10,20.9254321429,62.4033857143
343,12,21.7684458571,51.4661935714
344,3,21.4489798571,59.7241622857
345,1,20.4175824286,49.849063
346,3,24.2823651429,43.740513
347,4,19.1224492857,73.2418781429
348,0,20.8673471429,50.4255048571
349,2,25.1020407143,48.3722465714
350,5,27.4999998571,43.9227688571
351,4,27.4638412857,42.6442837143
352,4,22.5510205714,64.2793244286
353,1,28.9635797143,47.6843944286
354,4,26.756672000000002,62.907687
355,8,23.2530092857,66.1886477143
356,6,24.5714288571,62.4832617143
357,5,25.3296705714,64.2841008571
358,5,21.6554158571,66.1563288571
359,4,25.4505495714,70.44688
360,3,24.5876355714,70.4137518571
361,4,26.0431626667,61.2181336667
362,10,,
363,4,,
364,4,,
365,1,,
366,1,23.285714,83.24816
367,1,26.1593408571,71.3543848571
368,2,26.4693877143,74.0707657143
369,4,28.8037677143,58.0372051429
370,3,29.1084944286,55.5248914286
371,1,25.5062792857,75.0494542857
372,2,23.680534,75.6208371429
373,5,26.3846155714,70.4123802857
374,1,24.2012034286,75.1285052857
375,6,24.9506802857,72.8918328571
376,2,25.155547,73.8510134286
377,11,24.6177392857,77.8376681429
378,6,27.4599685714,65.8793422857
379,7,24.8938775714,67.70948
380,9,23.7671612857,66.570399
381,11,23.5081632857,64.6627662857
382,12,21.1237047143,74.864025
383,21,22.7362637143,65.9053711429
384,9,22.3940345714,65.2516077143
385,8,20.2653064286,73.3068907143
386,12,20.8163264286,72.1066837143
387,8,21.2653061429,67.2323897143
388,7,21.479592,73.6198334286
389,27,20.135414,78.7774851429
390,21,18.5612247143,72.783178
391,19,20.0612245714,70.0889997143
392,12,17.5714282857,63.887061
393,11,18.734694,65.4624868571
394,19,20.4693878571,61.7701917143
395,14,17.4489795714,58.1128795714
396,11,16.8163265714,62.0341272857
397,14,18.8580705714,64.5535998571
398,15,21.1038958571,62.7460955714
399,12,23.054847,61.7565241429
400,19,24.408163428599998,53.4712767143
401,12,23.2532708571,59.0115765714
402,20,25.6711145714,62.6092905714
403,19,26.0049187143,61.2573637143
404,6,24.4489797143,56.7667155714
405,3,26.112245,59.3114697143
406,8,22.6224491429,76.7128918571
407,2,23.7982735714,70.7019525714
408,3,21.2394034286,74.9960431429
409,0,22.510204,79.8024642857
410,0,24.2268447143,69.1030731429
411,3,22.0949765714,70.9955385714
412,3,24.7087911429,64.2341375714
413,22,25.7386187143,62.0402307143
414,4,26.3367347143,66.5613255714
415,3,23.8877551429,69.7768664286
416,11,26.2857145714,74.6445171429
417,27,25.2448977143,65.1694422857
418,7,24.1530611429,74.3152435714
419,7,24.4750565714,81.8293742857
420,16,24.4693878571,79.8668642857
421,14,28.1268397143,65.1606642857
422,4,28.1931974286,64.799788
423,1,25.1408164286,79.7547585714
424,1,24.3775508571,75.6677001429
425,2,25.6258502857,73.4670185714
426,6,27.8133501429,66.1306527143
427,7,28.9319728571,59.1981715714
428,12,28.734694,60.0475858571
429,22,25.8415815714,76.3627797143
430,20,24.572529,71.6791222857
431,28,25.017511,76.5538548571
432,18,24.1054422857,79.4771535714
433,23,23.5374148571,74.3891564286
434,46,22.9081632857,69.348836
435,40,23.2304125714,76.9909765714
436,53,21.7244898571,79.5717098571
437,50,21.2857142857,76.890038
438,56,17.5,71.793682
439,52,19.5863422857,68.7705857143
440,42,20.3040815714,79.6184012857
441,37,17.9267572857,86.0545387143
442,33,17.4489795714,70.3631155714
443,28,20.5612242857,70.5512651429
444,29,18.7193874286,72.8215018571
445,20,18.8367348571,67.5961714286
446,23,20.6141157143,67.7033754286
447,18,22.0306121429,66.9050398571
448,37,19.7678571429,68.0343332857
449,36,18.3612241429,74.8565797143
450,21,19.1938772857,74.4313934286
451,24,17.9214287143,71.7587971429
452,23,20.4081635714,64.4826194286
453,31,16.1632652857,74.8553355714
454,15,22.482993,61.1077257143
455,35,18.4273707143,86.84465
456,40,19.3374151429,73.3957285714
457,26,18.8231292857,86.3525035714
458,27,22.591836571400002,78.7677742857
459,50,25.4693878571,69.9307142857
460,16,24.0170068571,74.2848897143
461,20,25.122449,69.7116341429
462,25,20.429847,78.4280652857
463,28,21.6081635714,77.5391045714
464,36,23.1632652857,74.1598891429
465,15,24.1785715714,72.456695
466,26,23.7755105714,79.7171122857
467,23,25.0714284286,77.8261457143
468,17,23.9047618333,77.4627125
469,17,22.5178575,82.44815
470,17,22.6190476667,91.0624066667
471,31,22.744898,86.5923537143
472,40,24.7346937143,81.3240441429
473,10,26.3367347143,76.5481482857
474,25,26.4081632857,72.8050021429
475,33,25.9540815714,79.388703
476,40,25.4301411429,82.0833157143
