year,hospitalization,quantity
2014,1,9
2014,0,333
2015,1,146
2015,0,8046
2016,1,5
2016,0,652
2017,1,6
2017,0,16
2018,1,2
2018,0,5
2019,1,12
2019,0,321
2020,1,3
2020,0,39
2021,1,6
2021,0,17
2022,1,4
2022,0,55
2023,1,100
2023,0,1834
2024,1,307
2024,0,7704
2025,1,9
2025,0,225
